rowid,qc_ind,stno,time,latitude,latitude_1,latitude_2,longitude,longitude_1,longitude_2,airpressure,airpressure_1,airpressure_2,airtemp,airtemp_1,airtemp_2,conductivity_16,hm0,hm0a,hm0b,hmax,humidity,humidity_1,humidity_2,mdir,mdira,mdirb,s1mean,salinity_16,seatemp_16,seatemp_aa,seatemp_aa_1,seatemp_aa_2,sprtp,thhf,thmax,thtp,tm01,tm02,tm02a,tm02b,tp,ts,winddir,winddir_1,winddir_2,windgust,windgust_1,windgust_2,windsp,windsp_1,windsp_2,source_file
1,1,62094,2023-01-27 17:00:00,,51.69019,51.69019,,-6.711212,-6.711212,1033.179,1033.179,1033.154,7.77344,7.77344,7.82227,,,0.3516,0.7031,0.9375,75.78125,75.78125,75.58594,12.6563,226.4063,29.5313,,,,9.836426,9.836426,9.834595,,,,,,3.75,,,10.5469,,10.54688,10.54688,4.21875,7.972795,7.972795,9.22566,5.580952,5.580952,6.833838,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-27 18:00:00,,51.69019,51.69019,,-6.711212,-6.711212,1033.447,1033.447,1033.411,7.82227,7.82227,7.91992,,,0.3516,0.7031,1.0938,74.80469,74.80469,74.51172,90.0,232.0313,73.125,,,,9.836426,9.836426,9.832764,,,,,,3.75,,,9.9609,,19.33594,19.33594,13.00781,7.517215,7.517215,8.428392,4.669775,4.669775,5.694861,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-27 19:00:00,,51.69019,51.69019,,-6.711212,-6.711212,1033.569,1033.569,1033.533,7.82227,7.82227,7.87109,,,0.3516,0.7031,1.0938,77.44141,77.44141,77.24609,94.2188,233.4375,73.125,,,,9.814453,9.814453,9.818115,,,,,,3.8672,,,10.5469,,1.75781,1.75781,356.8359,11.16192,11.16192,11.27581,7.858905,7.858905,9.339569,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-27 20:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.862,1033.862,1033.826,7.77344,7.77344,7.82227,,,0.3516,0.5859,1.0938,70.60547,70.60547,70.80078,126.5625,225.0,84.375,,,,9.814453,9.814453,9.810791,,,,,,3.9844,,,10.5469,,5.27344,5.27344,5.625,9.795149,9.795149,9.795149,7.403306,7.403306,6.833838,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-27 21:00:00,,51.69034,51.69019,,-6.710938,-6.710938,1033.752,1033.752,1033.716,7.77344,7.77344,7.82227,,,0.3516,0.5859,0.9375,72.85156,72.85156,72.26563,174.375,226.4063,81.5625,,,,9.807129,9.807129,9.805298,,,,,,4.2188,,,10.5469,,12.65625,12.65625,14.0625,8.314484,8.314484,8.314484,5.580952,5.580952,5.353173,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-27 22:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.716,1033.716,1033.679,7.62695,7.62695,7.72461,,,0.3516,0.5859,1.0938,70.11719,70.11719,70.01953,225.0,239.0625,85.7813,,,,9.807129,9.807129,9.80896,,,,,,4.5703,,,10.5469,,,350.8594,0.0,11.04801,11.04801,11.27581,8.656192,8.656192,8.997881,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-27 23:00:00,,51.69019,51.69034,,-6.710938,-6.710938,1033.752,1033.752,1033.704,7.48047,7.48047,7.57813,,0.5859,0.3516,0.4688,,69.14063,69.14063,69.04297,222.1875,243.2813,105.4688,,,,9.829102,9.829102,9.821777,,,,,,4.3359,,,9.1406,,344.8828,344.8828,352.9688,10.70633,10.70633,11.04801,8.428392,8.428392,8.314484,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 00:00:00,,51.69034,51.69034,,-6.710938,-6.710938,1033.618,1033.618,1033.582,7.38281,7.38281,7.43164,,0.5859,0.3516,0.5859,,70.50781,70.50781,70.60547,239.0625,239.0625,57.6563,,,,9.832764,9.832764,9.818115,,,,,,4.3359,,,9.9609,,356.1328,356.1328,3.51563,8.086704,8.086704,8.997881,6.26435,6.26435,6.37824,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 01:00:00,,51.69034,51.69019,,-6.710938,-6.710938,1033.801,1033.801,1033.765,7.13867,7.13867,7.23633,,0.7031,0.4688,0.4688,,71.58203,71.58203,71.58203,261.5625,241.875,341.7188,,,,9.830933,9.830933,9.832764,,,,,,4.5703,,,,,345.5859,345.5859,354.375,10.25075,10.25075,9.453459,7.403306,7.403306,7.061617,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 02:00:00,,51.69034,51.69019,,-6.710938,-6.710938,1033.472,1033.472,1033.423,7.1875,7.1875,7.23633,,0.7031,0.3516,0.5859,,67.67578,67.67578,67.57813,275.625,236.25,336.0938,,,,9.830933,9.830933,9.821777,,,,,,3.9844,,,,,314.6484,314.6484,320.625,8.428392,8.428392,8.656192,5.694861,5.694861,5.580952,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 03:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.459,1033.459,1033.423,7.28516,7.28516,7.33398,,0.7031,0.3516,0.5859,,68.94531,68.94531,68.45703,288.2813,247.5,338.9063,,,,9.838257,9.838257,9.827271,,,,,,4.1016,,,,,279.4922,279.4922,281.9531,7.745015,7.745015,7.631105,5.353173,5.353173,5.580952,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 04:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.679,1033.679,1033.63,7.28516,7.28516,7.38281,,0.7031,0.4688,0.5859,1.25,68.65234,68.65234,68.65234,279.8438,258.75,306.5625,,,,9.862061,9.862061,9.852905,,,,,,4.4531,,,,,293.5547,293.5547,303.3984,11.38972,11.38972,12.0731,8.883972,8.883972,9.111771,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 05:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.057,1033.057,1033.02,7.08984,7.08984,7.13867,,0.5859,0.3516,0.4688,1.0938,71.28906,71.28906,71.67969,270.0,254.5313,292.5,,,,9.827271,9.827271,9.814453,,,,,,4.4531,,,,,293.9062,293.9062,305.1563,10.59244,10.59244,10.36464,8.086704,8.086704,8.200594,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 06:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.313,1033.313,1033.276,7.23633,7.23633,7.28516,,0.7031,0.4688,0.4688,0.9375,75.78125,75.78125,75.87891,250.3125,251.7188,248.9063,,,,9.821777,9.821777,9.816284,,,,,,5.2734,,,,,301.9922,301.9922,313.5937,9.339569,9.339569,9.795149,7.061617,7.061617,7.061617,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 07:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.606,1033.606,1033.569,7.38281,7.38281,7.43164,,0.7031,0.4688,0.4688,0.9375,72.16797,72.16797,72.46094,253.125,250.3125,258.75,,,,9.80896,9.80896,9.807129,,,,,,4.9219,,,,,303.75,303.75,315.3516,12.98428,12.98428,12.87037,10.59244,10.59244,10.47855,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 08:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.521,1033.521,1033.472,7.48047,7.48047,7.57813,,,0.5859,0.5859,1.4063,76.85547,76.85547,76.95313,260.1563,248.9063,277.0313,,,,9.80896,9.80896,9.80896,,,,,,4.5703,,,14.2969,,290.0391,290.0391,297.7734,11.04801,11.04801,11.6175,9.22566,9.22566,9.795149,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 09:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1033.728,1033.728,1033.691,7.48047,7.48047,7.57813,,,0.5859,0.5859,1.25,80.07813,80.07813,79.88281,275.625,260.1563,293.9063,,,,9.818115,9.818115,9.807129,,,,,,4.4531,,,14.2969,,287.5781,287.5781,297.0703,12.64259,12.64259,13.09817,10.47855,10.47855,10.47855,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 10:00:00,,51.69019,51.69034,,-6.710938,-6.710938,1033.923,1033.923,1033.875,7.62695,7.62695,7.72461,,,0.5859,0.5859,1.25,83.20313,83.20313,82.12891,272.8125,254.5313,292.5,,,,9.805298,9.805298,9.799805,,,,,,4.4531,,,14.2969,,273.8672,273.8672,280.8984,11.95919,11.95919,9.567369,9.567369,9.567369,7.403306,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 11:00:00,,51.69034,51.69034,,-6.710938,-6.710663,1033.997,1033.997,1033.96,7.77344,7.77344,7.87109,,,0.5859,0.5859,1.0938,83.00781,83.00781,82.42188,267.1875,254.5313,285.4688,,,,9.80896,9.80896,9.812622,,,,,,4.8047,,,13.3594,,273.5156,273.5156,282.6563,11.73141,11.73141,11.95919,9.22566,9.22566,8.656192,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 12:00:00,,51.69034,51.69034,,-6.710663,-6.710663,1033.472,1033.472,1033.447,8.16406,8.16406,8.31055,,,0.4688,0.5859,1.25,81.05469,81.05469,80.07813,261.5625,250.3125,274.2188,,,,9.851074,9.851074,9.856567,,,,,,4.5703,,,13.3594,,268.2422,268.2422,278.0859,13.21208,13.21208,13.21208,10.25075,10.25075,9.22566,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 13:00:00,,51.69034,51.69034,,-6.710938,-6.710663,1033.032,1033.032,1032.983,8.4082,8.4082,8.60352,,0.7031,0.4688,0.4688,1.4063,82.12891,82.12891,80.95703,258.75,247.5,272.8125,,,,9.873047,9.873047,9.865723,,,,,,4.4531,,,,,261.2109,261.2109,269.6484,12.3009,12.3009,10.25075,10.02295,10.02295,8.542282,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 14:00:00,,51.69034,51.69034,,-6.710663,-6.710663,1032.727,1032.727,1032.703,8.50586,8.50586,8.65234,,0.7031,0.5859,0.4688,1.4063,85.64453,85.64453,85.15625,260.1563,253.125,268.5938,,,,9.856567,9.856567,9.851074,,,,,,5.0391,,,,,261.5625,261.5625,273.1641,14.23714,14.23714,13.09817,11.6175,11.6175,9.909058,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 15:00:00,,51.69034,51.69034,,-6.710663,-6.710663,1032.397,1032.397,1032.336,8.70117,8.70117,8.84766,,0.7031,0.4688,0.5859,1.4063,85.64453,85.64453,84.96094,268.5938,255.9375,279.8438,,,,9.852905,9.852905,9.847412,,,,,,4.2188,,,,,255.5859,255.5859,264.7266,14.69272,14.69272,13.66766,11.95919,11.95919,9.909058,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 16:00:00,,51.69034,51.69019,,-6.710663,-6.710663,1032.556,1032.556,1032.507,8.84766,8.84766,8.94531,,0.8203,0.5859,0.5859,1.4063,88.57422,88.57422,88.28125,267.1875,258.75,277.0313,,,,9.854736,9.854736,9.854736,,,,,,4.4531,,,,,256.6406,256.6406,265.0781,13.89545,13.89545,13.55377,11.27581,11.27581,11.04801,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 17:00:00,,51.69034,51.69019,,-6.710663,-6.710938,1032.666,1032.666,1032.629,8.35938,8.35938,8.45703,,0.8203,0.5859,0.5859,1.25,92.1875,92.1875,92.08984,271.4063,267.1875,274.2188,,,,9.858398,9.858398,9.863892,,,,,,4.3359,,,,,250.3125,250.3125,254.5313,13.89545,13.89545,13.66766,11.16192,11.16192,10.70633,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 18:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1032.593,1032.593,1032.532,8.65234,8.65234,8.70117,,0.8203,0.4688,0.5859,1.0938,94.82422,94.82422,94.72656,264.375,254.5313,271.4063,,,,9.873047,9.873047,9.869385,,,,,,4.2188,,,,,250.3125,250.3125,247.8516,12.75648,12.75648,13.55377,9.453459,9.453459,10.25075,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 19:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1032.568,1032.568,1032.532,8.79883,8.79883,8.89648,,0.8203,0.5859,0.5859,1.4063,92.87109,92.87109,93.06641,264.375,258.75,268.5938,,,,9.847412,9.847412,9.841919,,,,,,4.5703,,,,,264.7266,264.7266,260.1562,14.92052,14.92052,15.94561,12.0731,12.0731,12.41479,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,2023-01-28 20:00:00,,51.69019,51.69019,,-6.710938,-6.710938,1032.41,1032.41,1032.373,8.89648,8.89648,8.99414,,0.9375,0.5859,0.7031,1.25,93.94531,93.94531,93.84766,267.1875,257.3438,274.2188,,,,9.823608,9.823608,9.821777,,,,,,4.3359,,,,,252.4219,252.4219,253.4766,12.3009,12.3009,13.32597,10.02295,10.02295,10.59244,2023_62094_zzqc_fugrobuoy.csv
