rowid,qc_ind,stno,time,latitude,latitude_1,latitude_2,longitude,longitude_1,longitude_2,airpressure,airpressure_1,airpressure_2,airtemp,airtemp_1,airtemp_2,conductivity_16,hm0,hm0a,hm0b,hmax,humidity,humidity_1,humidity_2,mdir,mdira,mdirb,s1mean,salinity_16,seatemp_16,seatemp_aa,seatemp_aa_1,seatemp_aa_2,sprtp,thhf,thmax,thtp,tm01,tm02,tm02a,tm02b,tp,ts,winddir,winddir_1,winddir_2,windgust,windgust_1,windgust_2,windsp,windsp_1,windsp_2,source_file
1,1,62095,2023-08-24 09:00:00,,53.03906,53.03906,,-15.94467,-15.94467,1017.749,1017.749,1017.737,15.0,15.0,15.09766,,1.6406,,,2.8125,84.375,84.375,84.96094,326.25,,,,,,15.71777,15.71777,15.71228,,,,,,,,,8.3203,,290.3906,290.3906,286.875,,19.47641,18.90692,13.43986,13.43986,14.92052,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 10:00:00,,53.03845,53.03845,,-15.94247,-15.94247,1017.725,1017.725,1017.664,14.95117,14.95117,15.04883,,1.7578,,,2.6563,87.59766,87.59766,88.18359,319.2188,,,,,,15.71411,15.71411,15.70679,,,,,,,,,7.7344,,294.6094,294.6094,294.6094,,22.32385,22.66554,15.03443,15.03443,16.40119,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 11:00:00,,53.03754,53.03738,,-15.9411,-15.94138,1017.725,1017.725,1017.676,14.6582,14.6582,14.75586,,1.7578,,,2.9688,89.94141,89.94141,90.42969,316.4063,,,,,,15.69214,15.69214,15.69031,,,,,,,,,7.7344,,310.4297,310.4297,306.2109,,23.9184,22.20994,13.43986,13.43986,14.80663,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 12:00:00,,53.03677,53.03677,,-15.9411,-15.94138,1018.005,1018.005,1017.981,15.39063,15.39063,15.53711,,1.875,,,2.9688,87.5,87.5,87.98828,322.0313,,,,,,15.71228,15.71228,15.71045,,,,,,,,,7.7344,,325.5469,325.5469,312.8906,,17.31236,18.79303,11.95919,11.95919,13.09817,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 13:00:00,,53.03647,53.03647,,-15.9422,-15.9422,1018.018,1018.018,1017.993,14.80469,14.80469,14.95117,,1.7578,,,2.8125,87.5,87.5,87.98828,319.2188,,,,,,15.72876,15.72876,15.72327,,,,,,,,,7.7344,,336.4453,336.4453,326.6016,,23.57671,21.41267,15.03443,15.03443,16.0595,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 14:00:00,,53.03647,53.03632,,-15.9444,-15.94467,1018.225,1018.225,1018.115,15.53711,15.53711,15.68359,,1.9922,,,2.9688,83.88672,83.88672,84.375,317.8125,,,,,,15.75806,15.75806,15.75256,,,,,,,,,7.1484,,345.9375,345.9375,334.3359,,22.77943,22.20994,15.6039,15.6039,16.40119,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 15:00:00,,53.03677,53.03677,,-15.94714,-15.94742,1018.127,1018.127,1018.091,15.43945,15.43945,15.53711,,1.875,,,2.6563,83.88672,83.88672,84.375,320.625,,,,,,15.75073,15.75073,15.74341,,,,,,,,,7.1484,,346.6406,346.6406,336.0937,,23.12112,23.57671,16.51508,16.51508,18.56523,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 16:00:00,,53.03723,53.03738,,-15.94907,-15.94934,1018.201,1018.201,1018.164,15.68359,15.68359,15.78125,,2.1094,,,3.125,83.20313,83.20313,83.88672,322.0313,,,,,,15.75073,15.75073,15.73975,,,,,,,,,7.1484,,337.1484,337.1484,323.0859,,24.60178,23.9184,15.8317,15.8317,18.79303,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 17:00:00,,53.03799,53.03799,,-15.95044,-15.95071,1018.628,1018.628,1018.628,15.68359,15.68359,15.78125,,1.9922,,,3.2813,82.91016,82.91016,83.69141,324.8438,,,,,,15.75256,15.75256,15.74707,,,,,,,,,7.1484,,339.2578,339.2578,323.0859,,22.32385,24.1462,14.57883,14.57883,17.65405,2023_62095_zzqc_fugrobuoy.csv
1,1,62095,2023-08-24 18:00:00,,53.03845,53.03845,,-15.95071,-15.95071,1018.628,1018.628,1018.628,15.48828,15.48828,15.58594,,2.1094,,,3.125,82.22656,82.22656,82.71484,324.8438,,,,,,15.7782,15.7782,15.77087,,,,,,,,,7.1484,,337.5,337.5,323.0859,,25.28516,25.51296,16.2873,16.2873,18.90692,2023_62095_zzqc_fugrobuoy.csv
