rowid,qc_ind,stno,time,latitude,latitude_1,latitude_2,longitude,longitude_1,longitude_2,airpressure,airpressure_1,airpressure_2,airtemp,airtemp_1,airtemp_2,conductivity_16,hm0,hm0a,hm0b,hmax,humidity,humidity_1,humidity_2,mdir,mdira,mdirb,s1mean,salinity_16,seatemp_16,seatemp_aa,seatemp_aa_1,seatemp_aa_2,sprtp,thhf,thmax,thtp,tm01,tm02,tm02a,tm02b,tp,ts,winddir,winddir_1,winddir_2,windgust,windgust_1,windgust_2,windsp,windsp_1,windsp_2,source_file
1,1,62092,2024-01-17 00:00:00,,51.21686,51.21686,,-10.54846,-10.54819,996.936,996.936,996.936,7.23633,7.23633,7.38281,,2.0313,,,3.5156,68.84766,68.84766,71.09375,137.8125,,,,,,11.03394,11.03394,11.05408,,,,,,,,,12.3047,,46.75781,60.46875,46.75781,,19.36252,18.79303,14.12325,13.43986,14.12325,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 01:00:00,,51.21686,51.21686,,-10.54846,-10.54846,996.1426,996.1426,996.167,7.13867,7.13867,7.23633,,1.9531,,,2.5781,68.45703,68.45703,69.04297,90.0,,,,,,10.98633,10.98633,11.00647,,,,,,,,,13.125,,40.78125,53.78906,40.78125,,19.70421,18.79303,13.78155,14.57883,13.78155,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 02:00:00,,51.21686,51.21686,,-10.54846,-10.54846,995.4468,995.4468,995.3735,6.89453,6.89453,7.04102,,1.9531,,,2.8125,72.65625,72.65625,73.82813,157.5,,,,,,10.93506,10.93506,10.94604,,,,,,,,,9.1406,,37.96875,51.32813,37.96875,,19.13472,17.99574,13.89545,14.57883,13.89545,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 03:00:00,,51.21686,51.21686,,-10.54819,-10.54846,994.8364,994.8364,994.7632,6.79688,6.79688,6.89453,,2.1094,,,2.6953,70.50781,70.50781,72.36328,120.9375,,,,,,10.92773,10.92773,10.9259,,,,,,,,,7.0313,,38.67188,52.38281,38.67188,,20.84318,19.59032,14.00934,14.00934,14.00934,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 04:00:00,,51.21686,51.21686,,-10.54819,-10.54846,993.9697,993.9697,993.9331,6.65039,6.65039,6.79688,,2.0313,,,2.6953,72.65625,72.65625,74.02344,161.7188,,,,,,10.86182,10.86182,10.8728,,,,,,,,,7.9688,,32.34375,46.75781,32.34375,,20.38758,21.75436,15.71781,14.69272,15.71781,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 05:00:00,,51.21686,51.21686,,-10.54819,-10.54819,993.6523,993.6523,993.5913,6.65039,6.65039,6.74805,,2.0313,,,3.2813,73.14453,73.14453,75.09766,113.9063,,,,,,10.86731,10.86731,10.85999,,,,,,,,,7.8516,,37.61719,48.51563,37.61719,,22.89332,22.89332,16.40119,16.17339,16.40119,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 06:00:00,,51.21686,51.21686,,-10.54819,-10.54819,993.396,993.396,993.2739,6.50391,6.50391,6.69922,,2.1875,,,3.1641,75.19531,75.19531,77.92969,126.5625,,,,,,10.90027,10.90027,10.88196,,,,,,,,,7.0313,,30.23438,41.83594,30.23438,,24.71567,23.9184,16.62899,17.42625,16.62899,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 07:00:00,,51.21671,51.21686,,-10.54791,-10.54791,993.2617,993.2617,993.2495,6.60156,6.60156,6.74805,,2.1094,,,3.2813,73.33984,73.33984,75.29297,99.8438,,,,,,10.97168,10.97168,10.93872,,,,,,,,,8.5547,,37.26563,49.21875,37.26563,,23.4628,22.43774,16.17339,16.40119,16.17339,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 08:00:00,,51.21655,51.21671,,-10.54764,-10.54791,993.5547,993.5547,993.5303,6.35742,6.35742,6.50391,,2.2656,,,3.3984,74.80469,74.80469,75.97656,92.8125,,,,,,11.03394,11.03394,11.01562,,,,,,,,,8.6719,,34.10156,46.40625,34.10156,,24.26009,22.89332,16.0595,16.40119,16.0595,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 09:00:00,,51.21655,51.21655,,-10.54791,-10.54764,993.9941,993.9941,993.9453,6.11328,6.11328,6.25977,,2.1875,,,3.5156,71.67969,71.67969,73.92578,105.4688,,,,,,11.04492,11.04492,11.04126,,,,,,,,,9.0234,,34.45313,39.375,34.45313,,24.71567,23.9184,17.54016,15.26221,17.54016,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 10:00:00,,51.21655,51.21655,,-10.54791,-10.54791,994.5435,994.5435,994.4702,6.01563,6.01563,6.21094,,2.1875,,,2.9297,72.55859,72.55859,75.39063,97.0313,,,,,,11.05042,11.05042,11.02844,,,,,,,,,8.6719,,39.02344,48.86719,39.02344,,24.03229,23.6906,16.62899,17.54016,16.62899,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 11:00:00,,51.2164,51.21655,,-10.54791,-10.54791,995.3613,995.3613,995.2393,5.86914,5.86914,6.01563,,2.3438,,,3.8672,65.03906,65.03906,67.57813,98.4375,,,,,,11.0321,11.0321,11.02295,,,,,,,,,8.3203,,34.10156,41.83594,34.10156,,23.9184,21.75436,15.8317,17.19847,15.8317,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 12:00:00,,51.2164,51.2164,,-10.54819,-10.54791,995.6909,995.6909,995.5688,6.06445,6.06445,6.16211,,2.1094,,,3.1641,59.27734,59.27734,60.35156,99.8438,,,,,,11.01196,11.01196,11.00464,,,,,,,,,8.5547,,34.45313,41.83594,34.45313,,21.29876,22.89332,15.37612,15.14832,15.37612,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 13:00:00,,51.2164,51.2164,,-10.54819,-10.54819,995.9106,995.9106,995.8374,5.67383,5.67383,5.82031,,2.1875,,,3.0469,66.40625,66.40625,68.26172,84.375,,,,,,10.99365,10.99365,10.99548,,,,,,,,,6.9141,,24.96094,36.5625,24.96094,,20.95707,18.56523,13.89545,13.89545,13.89545,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 14:00:00,,51.21655,51.2164,,-10.54819,-10.54819,995.9839,995.9839,995.9106,5.86914,5.86914,6.01563,,2.1875,,,2.8125,64.35547,64.35547,66.01563,81.5625,,,,,,10.98816,10.98816,10.98267,,,,,,,,,7.7344,,28.47656,36.21094,28.47656,,17.65405,17.31236,12.41479,11.8453,12.41479,2024_62092_zzqc_fugrobuoy.csv
1,1,62092,2024-01-17 15:00:00,,51.21671,51.21655,,-10.54819,-10.54819,996.3257,996.3257,996.3135,5.67383,5.67383,5.77148,,2.1875,,,3.1641,62.01172,62.01172,64.45313,80.1563,,,,,,10.98633,10.98633,10.98999,,,,,,,,,7.6172,,15.46875,26.36719,15.46875,,16.51508,15.71781,11.38972,11.27581,11.38972,2024_62092_zzqc_fugrobuoy.csv
