rowid,qc_ind,stno,time,latitude,latitude_1,latitude_2,longitude,longitude_1,longitude_2,airpressure,airpressure_1,airpressure_2,airtemp,airtemp_1,airtemp_2,conductivity_16,hm0,hm0a,hm0b,hmax,humidity,humidity_1,humidity_2,mdir,mdira,mdirb,s1mean,salinity_16,seatemp_16,seatemp_aa,seatemp_aa_1,seatemp_aa_2,sprtp,thhf,thmax,thtp,tm01,tm02,tm02a,tm02b,tp,ts,winddir,winddir_1,winddir_2,windgust,windgust_1,windgust_2,windsp,windsp_1,windsp_2,source_file
1,1,62094,2025-01-01 00:00:00,,51.6911,51.6911,,-6.70187,-6.70215,1006.323,1006.323,1006.384,12.16797,12.16797,11.97266,,4.4531,,,5.4688,86.23047,0.0,86.23047,232.0313,,,,,,11.20605,11.20605,11.20605,,,,,,,,,10.5469,,224.6484,224.6484,224.6484,,41.57246,44.87547,23.12112,23.12112,33.59966,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 01:00:00,,51.6911,51.6911,,-6.70215,-6.70215,1004.895,1004.895,1004.932,11.97266,11.97266,12.02148,,4.6875,,,6.7188,86.91406,0.0,86.91406,234.8438,,,,,,11.21704,11.21704,11.21155,,,,,,,,,8.4375,,225.3516,225.3516,221.8359,,38.72504,45.10328,23.9184,23.9184,34.16915,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 02:00:00,,51.6911,51.69095,,-6.70215,-6.70215,1002.795,1002.795,1003.015,11.92383,11.92383,11.97266,,4.5313,,,6.4063,87.98828,0.0,87.98828,236.25,,,,,,11.24268,11.24268,11.22986,,,,,,,,,9.9609,,218.6719,218.6719,220.7813,,46.01445,46.58392,25.28516,25.28516,35.08033,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 03:00:00,,51.6911,51.6911,,-6.70215,-6.70215,1001.465,1001.465,1001.697,11.97266,11.97266,11.67969,,4.6875,,,9.5313,87.59766,0.0,87.59766,230.625,,,,,,11.26465,11.26465,11.25916,,,,,,,,,9.375,,220.0781,220.0781,218.3203,,40.88908,48.74799,25.96856,25.96856,36.21928,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 04:00:00,,51.6911,51.6911,,-6.70215,-6.70215,1000.769,1000.769,1000.537,12.07031,12.07031,11.72852,,5.3125,,,7.3438,88.76953,0.0,88.76953,239.0625,,,,,,11.25916,11.25916,11.25732,,,,,,,,,9.9609,,226.4063,226.4063,225.3516,,46.35614,54.55673,25.62685,25.62685,39.06672,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 05:00:00,,51.6908,51.6911,,-6.70187,-6.70215,1003.625,1003.625,1003.748,7.28516,7.28516,7.28516,,5.625,,,8.75,88.86719,0.0,88.86719,232.0313,,,,,,11.23718,11.23718,11.23169,,,,,,,,,9.375,,331.5234,331.5234,323.0859,,26.87973,26.87973,14.12325,14.12325,18.56523,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 06:00:00,,51.69095,51.69064,,-6.70187,-6.70187,1004.37,1004.37,1004.382,7.57813,7.57813,7.77344,,5.625,,,8.75,86.03516,0.0,86.03516,230.625,,,,,,11.21338,11.21338,11.21704,,,,,,,,,10.7813,,290.0391,290.0391,284.0625,,20.61538,19.8181,12.18699,12.18699,14.23714,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 07:00:00,,51.69095,51.69095,,-6.70187,-6.70187,1005.347,1005.347,1005.408,7.87109,7.87109,8.11523,,4.2188,,,5.4688,81.54297,0.0,81.54297,237.6563,,,,,,11.1438,11.1438,11.17676,,,,,,,,,11.1328,,280.8984,280.8984,274.2188,,27.33531,28.24649,16.0595,16.0595,21.18487,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 08:00:00,,51.69095,51.69095,,-6.70187,-6.70187,1005.664,1005.664,1005.664,8.60352,8.60352,8.84766,,4.2969,,,7.3438,77.53906,0.0,77.53906,233.4375,,,,,,11.14197,11.14197,11.13098,,,,,,,,,10.5469,,272.1094,272.1094,267.1875,,26.42414,31.32171,16.0595,16.0595,22.20994,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 09:00:00,,51.69095,51.69095,,-6.70187,-6.70187,1006.25,1006.25,1006.36,9.0918,9.0918,9.23828,,3.9063,,,5.625,70.70313,0.0,70.70313,234.8438,,,,,,11.16394,11.16394,11.15295,,,,,,,,,10.7813,,278.7891,278.7891,269.2969,,27.10751,27.677,15.6039,15.6039,20.95707,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 10:00:00,,51.69095,51.69095,,-6.70215,-6.70215,1006.836,1006.836,1006.909,9.28711,9.28711,9.38477,,3.5156,,,5.625,63.76953,0.0,63.76953,232.0313,,,,,,11.18042,11.18042,11.16943,,,,,,,,,11.1328,,285.1172,285.1172,274.5703,,28.01869,29.61326,17.08456,17.08456,22.55163,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,2025-01-01 11:00:00,,51.6908,51.69095,,-6.70215,-6.70215,1007.532,1007.532,1007.483,9.43359,9.43359,9.48242,,3.4375,,,4.8438,58.88672,0.0,58.88672,230.625,,,,,,11.15295,11.15295,11.16577,,,,,,,,,11.4844,,286.5234,286.5234,275.9766,,29.38547,29.49936,17.76796,17.76796,22.20994,2025_62094_zzqc_fugrobuoy.csv
