rowid,qc_ind,stno,time,latitude,latitude_1,latitude_2,longitude,longitude_1,longitude_2,airpressure,airpressure_1,airpressure_2,airtemp,airtemp_1,airtemp_2,conductivity_16,hm0,hm0a,hm0b,hmax,humidity,humidity_1,humidity_2,mdir,mdira,mdirb,s1mean,salinity_16,seatemp_16,seatemp_aa,seatemp_aa_1,seatemp_aa_2,sprtp,thhf,thmax,thtp,tm01,tm02,tm02a,tm02b,tp,ts,winddir,winddir_1,winddir_2,windgust,windgust_1,windgust_2,windsp,windsp_1,windsp_2,source_file
1,1,62093,2025-01-01 00:00:00,,55.00775,55.0079,,-9.99255,-9.99255,995.9229,995.9229,995.9106,9.28711,9.28711,9.28711,,7.2656,,,11.7188,80.76172,80.76172,81.64063,261.5625,,,,,,11.20605,11.20605,11.19507,,,,,,,,,12.0703,,270.3516,258.0469,270.3516,,35.19422,35.7637,26.19633,21.29876,26.19633,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 01:00:00,,55.00745,55.0076,,-9.99228,-9.99255,997.0459,997.0459,996.8994,8.4082,8.4082,8.45703,,6.5625,,,9.375,82.8125,82.8125,83.98438,258.75,,,,,,11.20239,11.20239,11.19507,,,,,,,,,11.4844,,311.1328,303.75,311.1328,,31.32171,31.54951,23.34891,17.65405,23.34891,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 02:00:00,,55.00729,55.00745,,-9.99255,-9.99228,997.5098,997.5098,997.4731,8.60352,8.60352,8.65234,,5.9375,,,9.0234,77.24609,77.24609,77.73438,262.9688,,,,,,11.20239,11.20239,11.1969,,,,,,,,,11.9531,,316.7578,328.0078,316.7578,,27.677,29.04378,21.86825,18.22354,21.86825,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 03:00:00,,55.00714,55.00729,,-9.99255,-9.99255,998.2544,998.2544,998.2544,8.06641,8.06641,8.11523,,5.3906,,,7.9688,81.83594,81.83594,83.20313,270.0,,,,,,11.20422,11.20422,11.20056,,,,,,,,,11.4844,,333.6328,327.6562,333.6328,,29.84104,30.86613,21.64045,17.99574,21.64045,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 04:00:00,,55.00699,55.00714,,-9.99283,-9.99255,998.7793,998.7793,998.877,8.21289,8.21289,8.21289,,5.4688,,,7.6172,77.53906,77.53906,77.73438,268.5938,,,,,,11.1969,11.1969,11.1969,,,,,,,,,11.4844,,337.8516,333.6328,337.8516,,25.96856,29.38547,20.04589,15.14832,20.04589,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 05:00:00,,55.00699,55.00699,,-9.99283,-9.99283,999.4629,999.4629,999.3164,7.57813,7.57813,7.67578,,5.0781,,,6.9141,78.51563,78.51563,79.6875,291.0938,,,,,,11.17859,11.17859,11.17126,,,,,,,,,11.1328,,325.8984,335.7422,325.8984,,30.18273,30.63833,24.60178,18.90692,24.60178,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 06:00:00,,55.00699,55.00699,,-9.9931,-9.99283,1000.256,1000.256,1000.073,7.82227,7.82227,7.87109,,5.0781,,,8.3203,74.02344,74.02344,74.70703,306.5625,,,,,,11.16211,11.16211,11.15662,,,,,,,,,11.4844,,342.7734,341.3672,342.7734,,26.42414,26.31025,19.02083,16.17339,19.02083,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 07:00:00,,55.00729,55.00699,,-9.99338,-9.9931,1000.989,1000.989,1001.05,8.11523,8.11523,8.16406,,5.3906,,,9.4922,70.99609,70.99609,71.67969,300.9375,,,,,,11.13647,11.13647,11.14197,,,,,,,,,12.1875,,329.4141,339.2578,329.4141,,22.77943,23.80449,15.8317,13.66766,15.8317,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 08:00:00,,55.00745,55.00729,,-9.99338,-9.99338,1001.672,1001.672,1001.66,7.96875,7.96875,8.01758,,5.5469,,,8.6719,70.70313,70.70313,72.16797,317.8125,,,,,,11.12732,11.12732,11.12,,,,,,,,,11.1328,,313.9453,313.5937,313.9453,,26.42414,28.01869,18.67914,15.8317,18.67914,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,2025-01-01 09:00:00,,55.0076,55.00745,,-9.99338,-9.99338,1002.295,1002.295,1002.319,7.43164,7.43164,7.48047,,5.2344,,,7.5,74.80469,74.80469,75.78125,320.625,,,,,,11.12732,11.12732,11.12732,,,,,,,,,11.4844,,306.5625,307.6172,306.5625,,28.81598,29.15767,20.95707,17.08456,20.95707,2025_62093_zzqc_fugrobuoy.csv
