rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file
1,1,62094,347_Wavesense  ,2025-01-01 00:00:00,0,51.6911,51.6911,51.6911,0,-6.70187,-6.70187,-6.70215,1,1006.323,1006.323,1006.384,1,12.16797,12.16797,11.97266,0,3.91784,1,4.4531,0,2.4219,0,3.75,1,5.4688,1,86.23047,0.0,86.23047,1,232.0313,0,246.0938,0,229.2188,0,0.0293,0,34.94019,9,,1,11.20605,11.20605,11.20605,0,26.0156,0,255.9375,0,7.9688,0,247.5,0,7.8516,0,7.3828,0,10.6641,0,6.6797,1,10.5469,0,8.7891,1,224.6484,224.6484,224.6484,0,41.57246,41.57246,44.87547,1,23.12112,23.12112,33.59966,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 01:00:00,0,51.6911,51.6911,51.6911,0,-6.70215,-6.70215,-6.70215,1,1004.895,1004.895,1004.932,1,11.97266,11.97266,12.02148,0,3.918,1,4.6875,0,2.1875,0,4.1406,1,6.7188,1,86.91406,0.0,86.91406,1,234.8438,0,237.6563,0,233.4375,0,0.0313,0,34.93736,9,,1,11.21704,11.21704,11.21155,0,32.3438,0,216.5625,0,8.4375,0,233.4375,0,7.7344,0,7.2656,0,10.8984,0,6.7969,1,8.4375,0,8.4375,1,225.3516,225.3516,221.8359,0,38.72504,38.72504,45.10328,1,23.9184,23.9184,34.16915,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 02:00:00,0,51.6911,51.6911,51.69095,0,-6.70215,-6.70215,-6.70215,1,1002.795,1002.795,1003.015,1,11.92383,11.92383,11.97266,0,3.91976,1,4.5313,0,2.6563,0,3.75,1,6.4063,1,87.98828,0.0,87.98828,1,236.25,0,248.9063,0,233.4375,0,0.0313,0,34.93652,9,,1,11.24268,11.24268,11.22986,0,19.6875,0,185.625,0,8.4375,0,248.9063,0,7.8516,0,7.3828,0,10.5469,0,6.5625,1,9.9609,0,9.0234,1,218.6719,218.6719,220.7813,0,46.01445,46.01445,46.58392,1,25.28516,25.28516,35.08033,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 03:00:00,0,51.6911,51.6911,51.6911,0,-6.70215,-6.70215,-6.70215,1,1001.465,1001.465,1001.697,1,11.97266,11.97266,11.67969,0,3.92209,1,4.6875,0,2.3438,0,4.0625,1,9.5313,1,87.59766,0.0,87.59766,1,230.625,0,246.0938,0,226.4063,0,0.0313,0,34.93233,9,,1,11.26465,11.26465,11.25916,0,19.3359,0,248.9063,0,8.4375,0,220.7813,0,7.7344,0,7.2656,0,10.8984,0,6.6797,1,9.375,0,8.9063,1,220.0781,220.0781,218.3203,0,40.88908,40.88908,48.74799,1,25.96856,25.96856,36.21928,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 04:00:00,0,51.6911,51.6911,51.6911,0,-6.70215,-6.70215,-6.70215,1,1000.769,1000.769,1000.537,1,12.07031,12.07031,11.72852,0,3.92165,1,5.3125,0,3.2031,0,4.2188,1,7.3438,1,88.76953,0.0,88.76953,1,239.0625,0,246.0938,0,237.6563,0,0.0313,0,34.92912,9,,1,11.25916,11.25916,11.25732,0,17.5781,0,250.3125,0,9.6094,0,246.0938,0,8.2031,0,7.7344,0,10.5469,0,6.9141,1,9.9609,0,9.0234,1,226.4063,226.4063,225.3516,0,46.35614,46.35614,54.55673,1,25.62685,25.62685,39.06672,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 05:00:00,0,51.6908,51.6908,51.6911,0,-6.70187,-6.70187,-6.70215,1,1003.625,1003.625,1003.748,1,7.28516,7.28516,7.28516,0,3.91878,1,5.625,0,2.8125,0,4.9219,1,8.75,1,88.86719,0.0,88.86719,1,232.0313,0,239.0625,0,230.625,0,0.0352,0,34.92645,9,,1,11.23718,11.23718,11.23169,0,28.125,0,239.0625,0,8.4375,0,232.0313,0,8.2031,0,7.7344,0,10.6641,0,7.2656,1,9.375,0,9.2578,1,331.5234,331.5234,323.0859,0,26.87973,26.87973,26.87973,1,14.12325,14.12325,18.56523,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 06:00:00,0,51.69095,51.69095,51.69064,0,-6.70187,-6.70187,-6.70187,1,1004.37,1004.37,1004.382,1,7.57813,7.57813,7.77344,0,3.91763,1,5.625,0,3.8281,0,4.1406,1,8.75,1,86.03516,0.0,86.03516,1,230.625,0,230.625,0,226.4063,0,0.0332,0,34.92867,9,,1,11.21338,11.21338,11.21704,0,16.875,0,274.2188,0,9.4922,0,241.875,0,8.5547,0,8.0859,0,10.7813,0,6.7969,1,10.7813,0,9.6094,1,290.0391,290.0391,284.0625,0,20.61538,20.61538,19.8181,1,12.18699,12.18699,14.23714,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 07:00:00,0,51.69095,51.69095,51.69095,0,-6.70187,-6.70187,-6.70187,1,1005.347,1005.347,1005.408,1,7.87109,7.87109,8.11523,0,3.91352,1,4.2188,0,2.8906,0,3.0469,1,5.4688,1,81.54297,0.0,81.54297,1,237.6563,0,243.2813,0,234.8438,0,0.0273,0,34.92538,9,,1,11.1438,11.1438,11.17676,0,19.3359,0,282.6563,0,9.8438,0,240.4688,0,8.2031,0,7.5,0,11.0156,0,6.2109,1,11.1328,0,9.8438,1,280.8984,280.8984,274.2188,0,27.33531,27.33531,28.24649,1,16.0595,16.0595,21.18487,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 08:00:00,0,51.69095,51.69095,51.69095,0,-6.70187,-6.70187,-6.70187,1,1005.664,1005.664,1005.664,1,8.60352,8.60352,8.84766,0,3.90873,1,4.2969,0,3.0469,0,3.0469,1,7.3438,1,77.53906,0.0,77.53906,1,233.4375,0,237.6563,0,229.2188,0,0.0273,0,34.92035,9,,1,11.14197,11.14197,11.13098,0,20.3906,0,279.8438,0,9.6094,0,240.4688,0,8.2031,0,7.5,0,10.6641,0,6.0938,1,10.5469,0,9.7266,1,272.1094,272.1094,267.1875,0,26.42414,26.42414,31.32171,1,16.0595,16.0595,22.20994,2025_62094_zzqc_fugrobuoy.csv
1,1,62094,347_Wavesense  ,2025-01-01 09:00:00,0,51.69095,51.69095,51.69095,0,-6.70187,-6.70187,-6.70187,1,1006.25,1006.25,1006.36,1,9.0918,9.0918,9.23828,0,3.9111,1,3.9063,0,2.6563,0,2.8906,1,5.625,1,70.70313,0.0,70.70313,1,234.8438,0,239.0625,0,232.0313,0,0.0254,0,34.92393,9,,1,11.16394,11.16394,11.15295,0,22.1484,0,340.3125,0,10.7813,0,240.4688,0,8.0859,0,7.5,0,10.8984,0,6.2109,1,10.7813,0,9.7266,1,278.7891,278.7891,269.2969,0,27.10751,27.10751,27.677,1,15.6039,15.6039,20.95707,2025_62094_zzqc_fugrobuoy.csv
