rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file
1,1,62093,189_Wavesense  ,2025-01-01 00:00:00,0,55.0079,55.00775,55.0079,0,-9.99255,-9.99255,-9.99255,1,995.9229,995.9229,995.9106,1,9.28711,9.28711,9.28711,0,4.0594,1,7.2656,0,5.8594,0,4.2188,1,11.7188,1,80.76172,80.76172,81.64063,1,261.5625,0,267.1875,0,253.125,0,0.0332,0,36.36353,9,,1,11.20605,11.20605,11.19507,0,34.1016,0,227.8125,0,11.1328,0,268.5938,0,9.375,0,8.6719,0,11.9531,0,6.3281,1,12.0703,0,11.0156,1,270.3516,258.0469,270.3516,1,35.7637,35.19422,35.7637,1,26.19633,21.29876,26.19633,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 01:00:00,0,55.0076,55.00745,55.0076,0,-9.99255,-9.99228,-9.99255,1,997.0459,997.0459,996.8994,1,8.4082,8.4082,8.45703,0,4.0602,1,6.5625,0,5.1563,0,4.1406,1,9.375,1,82.8125,82.8125,83.98438,1,258.75,0,267.1875,0,255.9375,0,0.0352,0,36.37283,9,,1,11.20239,11.20239,11.19507,0,39.7266,0,330.4688,0,10.0781,0,241.875,0,9.2578,0,8.5547,0,11.7188,0,6.5625,1,11.4844,0,10.6641,1,311.1328,303.75,311.1328,1,31.54951,31.32171,31.54951,1,23.34891,17.65405,23.34891,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 02:00:00,0,55.00745,55.00729,55.00745,0,-9.99228,-9.99255,-9.99228,1,997.5098,997.5098,997.4731,1,8.60352,8.60352,8.65234,0,4.06197,1,5.9375,0,4.6094,0,3.6719,1,9.0234,1,77.24609,77.24609,77.73438,1,262.9688,0,265.7813,0,254.5313,0,0.0332,0,36.38771,9,,1,11.20239,11.20239,11.1969,0,50.2734,0,272.8125,0,10.8984,0,281.25,0,9.0234,0,8.3203,0,11.6016,0,6.3281,1,11.9531,0,10.6641,1,316.7578,328.0078,316.7578,1,29.04378,27.677,29.04378,1,21.86825,18.22354,21.86825,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 03:00:00,0,55.00729,55.00714,55.00729,0,-9.99255,-9.99255,-9.99255,1,998.2544,998.2544,998.2544,1,8.06641,8.06641,8.11523,0,4.063,1,5.3906,0,4.2188,0,3.4375,1,7.9688,1,81.83594,81.83594,83.20313,1,270.0,0,270.0,0,268.5938,0,0.0313,0,36.39503,9,,1,11.20422,11.20422,11.20056,0,48.1641,0,244.6875,0,11.25,0,277.0313,0,8.7891,0,7.9688,0,11.4844,0,5.9766,1,11.4844,0,10.5469,1,333.6328,327.6562,333.6328,1,30.86613,29.84104,30.86613,1,21.64045,17.99574,21.64045,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 04:00:00,0,55.00714,55.00699,55.00714,0,-9.99255,-9.99283,-9.99255,1,998.7793,998.7793,998.877,1,8.21289,8.21289,8.21289,0,4.06247,1,5.4688,0,4.2188,0,3.5156,1,7.6172,1,77.53906,77.53906,77.73438,1,268.5938,0,267.1875,0,271.4063,0,0.0293,0,36.3932,9,,1,11.1969,11.1969,11.1969,0,47.4609,0,68.9063,0,11.0156,0,247.5,0,8.9063,0,8.2031,0,11.4844,0,6.2109,1,11.4844,0,11.0156,1,337.8516,333.6328,337.8516,1,29.38547,25.96856,29.38547,1,20.04589,15.14832,20.04589,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 05:00:00,0,55.00699,55.00699,55.00699,0,-9.99283,-9.99283,-9.99283,1,999.4629,999.4629,999.3164,1,7.57813,7.57813,7.67578,0,4.05941,1,5.0781,0,3.9063,0,3.125,1,6.9141,1,78.51563,78.51563,79.6875,1,291.0938,0,289.6875,0,291.0938,0,0.0293,0,36.38794,9,,1,11.17859,11.17859,11.17126,0,37.9688,0,299.5313,0,10.6641,0,270.0,0,8.9063,0,8.0859,0,11.4844,0,6.0938,1,11.1328,0,10.6641,1,325.8984,335.7422,325.8984,1,30.63833,30.18273,30.63833,1,24.60178,18.90692,24.60178,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 06:00:00,0,55.00699,55.00699,55.00699,0,-9.99283,-9.9931,-9.99283,1,1000.256,1000.256,1000.073,1,7.82227,7.82227,7.87109,0,4.05602,1,5.0781,0,3.6719,0,3.5938,1,8.3203,1,74.02344,74.02344,74.70703,1,306.5625,0,306.5625,0,299.5313,0,0.0293,0,36.36818,9,,1,11.16211,11.16211,11.15662,0,50.2734,0,11.25,0,8.2031,0,289.6875,0,8.4375,0,7.7344,0,11.8359,0,6.0938,1,11.4844,0,10.6641,1,342.7734,341.3672,342.7734,1,26.31025,26.42414,26.31025,1,19.02083,16.17339,19.02083,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 07:00:00,0,55.00699,55.00729,55.00699,0,-9.9931,-9.99338,-9.9931,1,1000.989,1000.989,1001.05,1,8.11523,8.11523,8.16406,0,4.05278,1,5.3906,0,3.9844,0,3.5938,1,9.4922,1,70.99609,70.99609,71.67969,1,300.9375,0,299.5313,0,300.9375,0,0.0313,0,36.35132,9,,1,11.13647,11.13647,11.14197,0,59.7656,0,317.8125,0,9.7266,0,337.5,0,8.7891,0,8.0859,0,11.6016,0,6.3281,1,12.1875,0,9.7266,1,329.4141,339.2578,329.4141,1,23.80449,22.77943,23.80449,1,15.8317,13.66766,15.8317,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 08:00:00,0,55.00729,55.00745,55.00729,0,-9.99338,-9.99338,-9.99338,1,1001.672,1001.672,1001.66,1,7.96875,7.96875,8.01758,0,4.05024,1,5.5469,0,4.2188,0,3.5156,1,8.6719,1,70.70313,70.70313,72.16797,1,317.8125,0,319.2188,0,310.7813,0,0.0293,0,36.34598,9,,1,11.12732,11.12732,11.12,0,49.9219,0,331.875,0,9.7266,0,316.4063,0,9.0234,0,8.3203,0,11.4844,0,6.4453,1,11.1328,0,10.4297,1,313.9453,313.5937,313.9453,1,28.01869,26.42414,28.01869,1,18.67914,15.8317,18.67914,2025_62093_zzqc_fugrobuoy.csv
1,1,62093,189_Wavesense  ,2025-01-01 09:00:00,0,55.00745,55.0076,55.00745,0,-9.99338,-9.99338,-9.99338,1,1002.295,1002.295,1002.319,1,7.43164,7.43164,7.48047,0,4.04969,1,5.2344,0,3.8281,0,3.5156,1,7.5,1,74.80469,74.80469,75.78125,1,320.625,0,327.6563,0,313.5938,0,0.0293,0,36.33469,9,,1,11.12732,11.12732,11.12732,0,52.3828,0,272.8125,0,10.4297,0,307.9688,0,8.9063,0,8.3203,0,11.7188,0,6.5625,1,11.4844,0,10.4297,1,306.5625,307.6172,306.5625,1,29.15767,28.81598,29.15767,1,20.95707,17.08456,20.95707,2025_62093_zzqc_fugrobuoy.csv
