rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file
1,1,62094,12143_CR6      ,2023-01-27 17:00:00,0,51.69019,51.69019,51.69019,0,-6.711212,-6.711212,-6.711212,1,1033.179,1033.179,1033.154,1,7.77344,7.77344,7.82227,9,,4,0.7031,1,0.3516,1,0.7031,6,0.9375,1,75.78125,75.78125,75.58594,1,12.6563,1,226.4063,1,29.5313,0,0.0215,9,,9,,1,9.836426,9.836426,9.834595,0,78.75,0,202.5,0,3.5156,0,226.4063,0,4.2188,1,3.75,0,11.3672,0,3.3984,1,10.5469,0,5.3906,1,10.54688,10.54688,4.21875,1,7.972795,7.972795,9.22566,1,5.580952,5.580952,6.833838,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-27 18:00:00,0,51.69019,51.69019,51.69019,0,-6.711212,-6.711212,-6.711212,1,1033.447,1033.447,1033.411,1,7.82227,7.82227,7.91992,9,,4,0.7031,1,0.3516,1,0.7031,6,1.0938,1,74.80469,74.80469,74.51172,1,90.0,1,232.0313,1,73.125,0,0.0215,9,,9,,1,9.836426,9.836426,9.832764,0,123.75,0,205.3125,0,6.5625,0,230.625,0,4.2188,1,3.75,0,11.3672,0,3.5156,1,9.9609,0,4.9219,1,19.33594,19.33594,13.00781,1,7.517215,7.517215,8.428392,1,4.669775,4.669775,5.694861,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-27 19:00:00,0,51.69019,51.69019,51.69019,0,-6.711212,-6.711212,-6.711212,1,1033.569,1033.569,1033.533,1,7.82227,7.82227,7.87109,9,,4,0.7031,1,0.3516,1,0.7031,6,1.0938,1,77.44141,77.44141,77.24609,1,94.2188,1,233.4375,1,73.125,0,0.0195,9,,9,,1,9.814453,9.814453,9.818115,0,95.625,0,220.7813,0,3.3984,0,233.4375,0,4.3359,1,3.8672,0,11.25,0,3.5156,1,10.5469,0,5.625,1,1.75781,1.75781,356.8359,1,11.16192,11.16192,11.27581,1,7.858905,7.858905,9.339569,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-27 20:00:00,0,51.69019,51.69019,51.69019,0,-6.710938,-6.710938,-6.710938,1,1033.862,1033.862,1033.826,1,7.77344,7.77344,7.82227,9,,4,0.7031,1,0.3516,1,0.5859,6,1.0938,1,70.60547,70.60547,70.80078,1,126.5625,1,225.0,1,84.375,0,0.0176,9,,9,,1,9.814453,9.814453,9.810791,0,64.6875,0,208.125,0,10.4297,0,225.0,0,4.4531,1,3.9844,0,11.7188,0,3.6328,1,10.5469,0,6.2109,1,5.27344,5.27344,5.625,1,9.795149,9.795149,9.795149,1,7.403306,7.403306,6.833838,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-27 21:00:00,0,51.69034,51.69034,51.69019,0,-6.710938,-6.710938,-6.710938,1,1033.752,1033.752,1033.716,1,7.77344,7.77344,7.82227,9,,4,0.7031,1,0.3516,1,0.5859,6,0.9375,1,72.85156,72.85156,72.26563,1,174.375,1,226.4063,1,81.5625,0,0.0137,9,,9,,1,9.807129,9.807129,9.805298,0,98.4375,0,187.0313,0,10.4297,0,225.0,0,4.8047,1,4.2188,0,11.6016,0,3.75,1,10.5469,0,6.9141,1,12.65625,12.65625,14.0625,1,8.314484,8.314484,8.314484,1,5.580952,5.580952,5.353173,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-27 22:00:00,0,51.69019,51.69019,51.69019,0,-6.710938,-6.710938,-6.710938,1,1033.716,1033.716,1033.679,1,7.62695,7.62695,7.72461,9,,4,0.7031,1,0.3516,1,0.5859,6,1.0938,1,70.11719,70.11719,70.01953,1,225.0,1,239.0625,1,85.7813,0,0.0137,9,,9,,1,9.807129,9.807129,9.80896,0,87.1875,0,217.9688,0,10.3125,0,239.0625,0,5.2734,1,4.5703,0,11.8359,0,3.8672,1,10.5469,0,7.6172,4,350.8594,350.8594,0.0,1,11.04801,11.04801,11.27581,1,8.656192,8.656192,8.997881,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-27 23:00:00,0,51.69019,51.69019,51.69034,0,-6.710938,-6.710938,-6.710938,1,1033.752,1033.752,1033.704,1,7.48047,7.48047,7.57813,9,,1,0.5859,1,0.3516,1,0.4688,4,0.9375,1,69.14063,69.14063,69.04297,1,222.1875,1,243.2813,1,105.4688,0,0.0137,9,,9,,1,9.829102,9.829102,9.821777,0,90.0,0,201.0938,0,9.2578,0,240.4688,0,5.0391,1,4.3359,0,12.0703,0,3.8672,1,9.1406,0,7.2656,1,344.8828,344.8828,352.9688,1,10.70633,10.70633,11.04801,1,8.428392,8.428392,8.314484,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-28 00:00:00,0,51.69034,51.69034,51.69034,0,-6.710938,-6.710938,-6.710938,1,1033.618,1033.618,1033.582,1,7.38281,7.38281,7.43164,9,,1,0.5859,1,0.3516,1,0.5859,4,0.9375,1,70.50781,70.50781,70.60547,1,239.0625,1,239.0625,1,57.6563,0,0.0137,9,,9,,1,9.832764,9.832764,9.818115,0,130.7813,0,191.25,0,9.1406,0,248.9063,0,5.0391,1,4.3359,0,12.4219,0,3.75,1,9.9609,0,7.1484,1,356.1328,356.1328,3.51563,1,8.086704,8.086704,8.997881,1,6.26435,6.26435,6.37824,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-28 01:00:00,0,51.69034,51.69034,51.69019,0,-6.710938,-6.710938,-6.710938,1,1033.801,1033.801,1033.765,1,7.13867,7.13867,7.23633,9,,1,0.7031,1,0.4688,1,0.4688,4,0.9375,1,71.58203,71.58203,71.58203,1,261.5625,1,241.875,1,341.7188,0,0.0176,9,,9,,1,9.830933,9.830933,9.832764,0,54.8438,0,161.7188,0,2.9297,0,247.5,0,5.5078,1,4.5703,0,13.8281,0,3.6328,4,15.3516,0,6.6797,1,345.5859,345.5859,354.375,1,10.25075,10.25075,9.453459,1,7.403306,7.403306,7.061617,2023_62094_zzqc_fugrobuoy.csv
1,1,62094,12143_CR6      ,2023-01-28 02:00:00,0,51.69034,51.69034,51.69019,0,-6.710938,-6.710938,-6.710938,1,1033.472,1033.472,1033.423,1,7.1875,7.1875,7.23633,9,,1,0.7031,1,0.3516,1,0.5859,4,0.9375,1,67.67578,67.67578,67.57813,1,275.625,1,236.25,1,336.0938,0,0.0176,9,,9,,1,9.830933,9.830933,9.821777,0,77.3438,0,165.9375,0,13.2422,0,246.0938,0,4.6875,1,3.9844,0,12.6563,0,3.3984,4,15.3516,0,7.3828,1,314.6484,314.6484,320.625,1,8.428392,8.428392,8.656192,1,5.694861,5.694861,5.580952,2023_62094_zzqc_fugrobuoy.csv
